goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceCookiejarStack/1-4          	  200000	     11532 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/1-4          	  100000	     10273 ns/op	   65792 B/op	      10 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     12139 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     12106 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     13814 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     12905 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     13708 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     14187 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     12436 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     12846 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     12919 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/10-4         	  100000	     13855 ns/op	   66800 B/op	      73 allocs/op
BenchmarkMicroserviceCookiejarStack/100-4        	   50000	     35832 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarStack/100-4        	   50000	     31155 ns/op	   76880 B/op	     703 allocs/op
BenchmarkMicroserviceCookiejarStack/100-4        	   50000	     29827 ns/op	   76880 B/op	     703 allocs/op
