goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceGammazeroQueue/100000-4     	      50	  31522055 ns/op	23781680 B/op	  700054 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       5	 331221659 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       3	 334488469 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       3	 334806336 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       5	 333188774 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       3	 346151088 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       3	 357862558 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       3	 349364217 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       3	 353396383 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       5	 331176811 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroQueue/1000000-4    	       3	 334519688 ns/op	212662064 B/op	 7000066 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 5000000	       382 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 3000000	       385 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 3000000	       384 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 5000000	       380 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 5000000	       360 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 5000000	       369 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 5000000	       359 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 5000000	       362 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 5000000	       520 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/1-4          	 5000000	       390 ns/op	     416 B/op	       9 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2497 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2494 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2500 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2476 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2554 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2626 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2679 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2624 ns/op	    1424 B/op	      72 allocs/op
BenchmarkMicroserviceGammazeroStack/10-4         	  500000	      2457 ns/op	    1424 B/op	      72 allocs/op
