goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       427 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       450 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       426 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       422 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       450 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       422 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       417 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       426 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       410 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2772 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2639 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2922 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2809 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2783 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2790 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2737 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2817 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2728 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2608 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     24534 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     25427 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     26284 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24975 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24335 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     26008 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     25202 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     25646 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24463 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24963 ns/op	   15776 B/op	     707 allocs/op
