goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25587 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     26453 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25831 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/100-4        	   50000	     25954 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    242304 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    234611 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    235117 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    243806 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    239973 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    241256 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    237176 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	   10000	    244124 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    248825 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/1000-4       	    5000	    239929 ns/op	  138288 B/op	    7017 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2471711 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2466153 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2442742 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2465128 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2415185 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2450442 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2420664 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2441652 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2392209 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/10000-4      	     500	   2425795 ns/op	 1535824 B/op	   70205 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27791833 ns/op	15258400 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27223843 ns/op	15258403 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  26626755 ns/op	15258400 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  26237245 ns/op	15258400 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  26814167 ns/op	15258400 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27319477 ns/op	15258400 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27104913 ns/op	15258401 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27275902 ns/op	15258400 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  26793626 ns/op	15258400 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/100000-4     	      50	  27529933 ns/op	15258401 B/op	  701963 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 283231104 ns/op	152480016 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 288026180 ns/op	152480016 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 270821349 ns/op	152480016 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 281722062 ns/op	152480016 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 272614648 ns/op	152480016 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 279948953 ns/op	152480016 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 272572326 ns/op	152480016 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 291795678 ns/op	152480054 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       3	 346517432 ns/op	152480048 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 299631664 ns/op	152480016 B/op	 7019541 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       417 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       490 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       426 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       417 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       430 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       413 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       405 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       454 ns/op	     304 B/op	      11 allocs/op
