goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 262799320 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 267634012 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 263993798 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeQueue/1000000-4    	       5	 263783350 ns/op	144360928 B/op	 7015623 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       387 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       387 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       394 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       387 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       389 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       388 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       390 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       387 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       387 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 5000000	       391 ns/op	     288 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2506 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2502 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2511 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2522 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2519 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2513 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2510 ns/op	    1552 B/op	      75 allocs/op
