goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceSliceQueue/10-4         	  500000	      3511 ns/op	    2168 B/op	     101 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     26508 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     26131 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     26814 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     26176 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     26384 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     26242 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     27582 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     28049 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     28281 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/100-4        	   50000	     27428 ns/op	   21336 B/op	     822 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    283978 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    280208 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    272236 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    281162 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    280600 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    278684 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    280356 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    271974 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    276563 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/1000-4       	    5000	    273548 ns/op	  214472 B/op	    8766 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3084155 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3133945 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3041402 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3052935 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3057540 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3059307 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3074290 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3084668 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3129010 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/10000-4      	     500	   3084493 ns/op	 2947656 B/op	   87836 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  46578728 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  48703459 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  47318759 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  47913476 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  46817404 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  48193274 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  46832430 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  46464198 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  47202300 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/100000-4     	      30	  47830364 ns/op	33139160 B/op	  875467 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 568057694 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 638853622 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 629099771 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 589203312 ns/op	337859288 B/op	 8862289 allocs/op
