goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3106 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3124 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3110 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3105 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3111 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3141 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/10-4         	  500000	      3106 ns/op	    3408 B/op	      77 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26643 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26665 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26873 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     27148 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26723 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26649 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26865 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26694 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26729 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/100-4        	   50000	     26802 ns/op	   22320 B/op	     731 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    264027 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    264240 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    264700 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    264889 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    265586 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    263609 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    264726 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    264203 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    266914 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/1000-4       	    5000	    266120 ns/op	  216960 B/op	    7286 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2688355 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2680705 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2704587 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2681494 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2682375 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2693197 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2687605 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2679268 ns/op	 2156736 B/op	   72818 allocs/op
